agent,reward,average_reward,current_count
pursuer_0,22.14424527960416,20.81918245803332,100000.0
pursuer_1,19.494119636462468,20.81918245803332,100000.0
pursuer_0,36.67006034221346,35.502321151764946,200000.0
pursuer_1,34.33458196131644,35.502321151764946,200000.0
pursuer_0,38.6673223605784,35.270877813182246,300000.0
pursuer_1,31.874433265786088,35.270877813182246,300000.0
