epoch,entropy_loss,policy_gradient_loss,value_loss,approx_kl,clip_fraction,loss,explained_variance,n_updates,clip_range
9,-2.835272311791777,0.0001577889956024,0.0215195557098923,0.0022418003,0.0183135986328125,0.0168944299221038,0.1752093434333801,10,0.2
9,-2.8246590765193105,-1.0834345812327228e-05,0.0271613210366922,0.0033783004619181,0.02802734375,0.0079442840069532,0.4817394614219665,20,0.2
9,-2.7947695245966315,-0.0005257606720988,0.0348045288897992,0.0042250473052263,0.035296630859375,0.014846995472908,0.5851316452026367,30,0.2
9,-2.7747634544968607,-0.0001491936427555,0.0387637852749321,0.0040610060095787,0.0268280029296875,0.0219645481556653,0.6523336470127106,40,0.2
9,-2.8144281070679424,-0.0002611509913549,0.0280685161609047,0.0035124346613883,0.0202107747395833,0.0150238145142793,0.0712818503379821,10,0.2
9,-2.8061636277784903,0.0001183042522219,0.0223621498196735,0.0026741081383079,0.0229085286458333,0.0080875996500253,0.4947453141212463,20,0.2
9,-2.7959973687926927,-0.0004322398486692,0.0327753193792887,0.0031886466313153,0.0220947265625,0.0192110706120729,0.6074799001216888,30,0.2
9,-2.8241373298689725,2.853010846592952e-05,0.0265777864937263,0.0023733531124889,0.01905517578125,0.0119920894503593,-0.1054884195327758,10,0.2
9,-2.8125585690140724,-0.0002813515709931,0.0322094619550625,0.003135492792353,0.022503662109375,0.0148263666778802,0.4080485105514526,20,0.2
9,-2.816468878276646,0.0001374837240291,0.0227217278537864,0.0025402917526662,0.0204498291015625,0.0103793302550911,0.063137412071228,10,0.2
9,-2.8016764342784883,0.0001312808632064,0.0426196604472352,0.0027557527646422,0.0159912109375,0.0197822730988264,0.4393528699874878,20,0.2
9,-2.7944765156134963,-0.0003318351526104,0.0304244651524641,0.0036148587241768,0.021478271484375,0.012703800573945,0.6401140689849854,30,0.2
9,-2.793411534465849,-0.0004482673073653,0.0305923192274349,0.0042028604075312,0.0349090576171875,0.0137063805013895,0.727202296257019,40,0.2
9,-2.844170544669032,-0.0003041143147129,0.0328073890734231,0.0027393463533371,0.0214813232421875,0.0155000332742929,-0.0363491773605346,10,0.2
9,-2.8459229772910475,0.0001231124491823,0.0421826772842905,0.0022941208444535,0.0162200927734375,0.0281712356954813,0.3444226384162903,20,0.2
9,-2.847984349168837,4.355865075922338e-05,0.0372175829601474,0.0025606877170503,0.0206390380859375,0.0194655805826187,0.5758368670940399,30,0.2
9,-2.824341378547252,-0.0004133223872486,0.0475893112918129,0.0043169832788407,0.033502197265625,0.0099088521674275,0.6259163916110992,40,0.2
9,-2.8289439955726268,-0.0005020266766223,0.0320704569450754,0.0037125900853425,0.025433349609375,0.0004319231957197,0.0690538883209228,10,0.2
9,-2.8138181334361434,7.542973962699761e-05,0.032563747066888,0.0028840524610131,0.0209991455078125,0.0240543205291032,0.4626171588897705,20,0.2
9,-2.8080403327941896,-0.0008688882351634,0.0307958429373684,0.0043664714321494,0.0368011474609375,0.0108674000948667,0.5420562922954559,30,0.2
9,-2.800481199845672,-1.381688125547953e-05,0.0366910620083217,0.0030794949270784,0.0277191162109375,0.017320517450571,0.6334851086139679,40,0.2
9,-2.8232895070686936,-0.0003014826073922,0.0333764024093397,0.0025363327004015,0.01826171875,0.0096219275146722,-0.2620937824249267,10,0.2
9,-2.793622362241149,-0.0007999587571248,0.0334752184309763,0.0033070831559598,0.0282501220703125,0.0092951785773038,0.2858107089996338,20,0.2
9,-2.765071270428598,0.0002653451827427,0.0262160719023086,0.0035260035656392,0.03426513671875,0.0082333171740174,0.5360996127128601,30,0.2
