number_of_games,scores,eps_history
98,-673.4145684029671,1.0489795747550249e-12
99,-783.684969148598,7.551492278126814e-13
100,-481.1475042925424,6.057541469114895e-13
101,-651.1396812066226,4.649569373028557e-13
102,-506.98141235282674,3.4701195483511334e-13
103,-546.2695435134924,2.739336623526122e-13
104,-516.3448647572753,2.044452895348552e-13
105,-459.7746689473546,1.6598265487304996e-13
106,-585.2749508944905,1.2842819119347019e-13
107,-530.4447128984772,9.818294175968563e-14
108,-789.2065604832515,7.298390283223376e-14
109,-609.8149703378925,5.490856726135046e-14
110,-735.7089506300201,3.98462252449026e-14
111,-347.16215744809597,3.222048861479956e-14
112,-683.715086311526,2.463246058156993e-14
113,-682.8271768429134,1.801922854002051e-14
114,-775.1218956745577,1.2919963379525947e-14
115,-536.6787175013399,9.956765532361978e-15
116,-594.6505905131553,7.196555724062183e-15
117,-903.990159856065,5.118803504002286e-15
118,-603.1647879806131,3.820323707061185e-15
119,-425.49972622988145,3.101599810957546e-15
120,-395.9875730050427,2.1279605548564962e-15
121,-401.68740467461885,1.713830424223444e-15
122,-542.6709509646539,1.320762853187546e-15
123,-406.57398679421806,1.0679963839090009e-15
124,-920.5303670636634,7.657638693534614e-16
125,-472.73412012226345,6.118117636118246e-16
126,-520.0026894159735,4.810366081122707e-16
127,-386.76878874930736,3.952625893012057e-16
128,-1047.5424388775732,2.733662191996854e-16
129,-589.6651123638657,2.1236511002447883e-16
130,-559.1722637303626,1.630044658388337e-16
131,-659.5870343521747,1.178164452971583e-16
132,-380.15448334607345,9.642126756114101e-17
133,-401.4474292515319,7.859575606265639e-17
134,-443.93779438391925,5.819015015248553e-17
135,-880.9351263329895,4.189046956821406e-17
136,-364.02038615165105,3.4146129902780577e-17
137,-476.9569487365017,2.739082426065669e-17
138,-479.4585386681799,2.1884067880928894e-17
139,-565.3718510363017,1.7068959010879536e-17
140,-460.8325953931127,1.3313309175438334e-17
141,-467.2527090062209,1.0551826613932772e-17
142,-441.1248312785702,8.263181463486129e-18
143,-394.6810314414219,6.655053713604553e-18
144,-728.7980615449561,4.790902314808228e-18
145,-585.7990472556708,3.4351238913881917e-18
146,-417.7354309019905,2.8000685558437637e-18
147,-535.3943461324329,2.2103936871717758e-18
148,-704.9457775794108,1.610487532301094e-18
149,-667.8172335787963,1.1781097876636697e-18
150,-803.4128126284427,8.379720439082758e-19
151,-760.5938612827949,6.179299572314833e-19
152,-599.1950596942315,4.611805206175551e-19
153,-408.9426918129052,3.6698916759949616e-19
154,-617.8788951268286,2.36145933879123e-19
155,-588.7612295937251,1.827166529477701e-19
156,-1109.9258980182083,1.2738508735916796e-19
157,-422.6886472914111,9.281246873968422e-20
158,-499.77789327447977,6.954704649630269e-20
159,-464.70441813292723,5.601224323835458e-20
160,-513.1467564597457,4.439403240172154e-20
161,-451.9191431397941,3.300012903533372e-20
162,-658.4815899426234,2.5329812441399208e-20
163,-507.60140235765016,1.9915548842995752e-20
164,-554.0885921203337,1.5164471954148273e-20
165,-782.307259078263,1.0786264311925994e-20
166,-332.40131653789507,8.757026345430568e-21
167,-434.6922400105056,6.912857798406243e-21
168,-1026.7694127205823,4.858244912609567e-21
169,-663.3212729793844,3.7141127105844246e-21
170,-496.5147271943461,2.9555435910494986e-21
171,-437.55871161287837,2.342496753565235e-21
172,-497.5099844294242,1.8790684944603125e-21
173,-555.4545714466307,1.4715067371883339e-21
174,-520.9593169613074,1.13857046527328e-21
175,-428.15286232498835,9.206718199279816e-22
176,-349.35411921464777,7.504661534026955e-22
177,-548.221878374317,5.9005353346710095e-22
178,-865.1899527605501,4.299115874941079e-22
179,-520.9771935047116,3.299859787199714e-22
180,-553.0745180357112,2.5126413331667203e-22
181,-511.62844864203976,1.9755626422967546e-22
182,-379.1474144496528,1.6038967343413827e-22
183,-616.5882698710641,1.1922503167467054e-22
184,-435.0188350651638,9.64078467172815e-23
185,-564.2456577926514,7.580060786427232e-23
186,-514.5938805904855,5.679957091078327e-23
187,-360.10546839183644,4.629896839861301e-23
188,-455.0472950906804,3.72885580377e-23
189,-599.9017615801988,2.862146933710069e-23
190,-502.68060240327026,2.2775830153085717e-23
191,-799.2834249341063,1.6528037493673564e-23
192,-1057.477340877887,1.1476807199432529e-23
193,-483.9297432426597,8.773982428449236e-24
194,-772.3016639346582,6.2658672257101566e-24
195,-539.032007124788,4.926534101508084e-24
196,-567.1623020653424,3.8425583900525e-24
